sex,age,age_month,L_weight,M_weight,S_weight
2,,89,-0.8019,24.6451,0.1561
2,,90,-0.7852,24.9161,0.1574
2,,91,-0.7693,25.1871,0.1586
2,,92,-0.7539,25.4581,0.1598
2,,93,-0.7392,25.7291,0.1609
2,,94,-0.725,26.0001,0.1621
2,,95,-0.7114,26.271,0.1632
2,8,96,-0.6971,26.5602,0.1643
2,,97,-0.6834,26.8493,0.1654
2,,98,-0.6702,27.1385,0.1665
2,,99,-0.6574,27.4276,0.1675
2,,100,-0.6451,27.7167,0.1685
2,,101,-0.6333,28.0058,0.1695
2,,102,-0.6214,28.3163,0.1705
2,,103,-0.6098,28.6269,0.1714
2,,104,-0.5987,28.9374,0.1723
2,,105,-0.5879,29.248,0.1732
2,,106,-0.5775,29.5585,0.1741
2,,107,-0.5675,29.869,0.1749
2,9,108,-0.5521,30.2033,0.1758
2,,109,-0.5373,30.5375,0.1766
2,,110,-0.5229,30.8718,0.1774
2,,111,-0.509,31.2061,0.1782
2,,112,-0.4956,31.5404,0.179
2,,113,-0.4825,31.8748,0.1798
2,,114,-0.4623,32.2323,0.1806
2,,115,-0.4427,32.59,0.1815
2,,116,-0.4237,32.9478,0.1823
2,,117,-0.4052,33.3056,0.1831
2,,118,-0.3874,33.6636,0.1838
2,,119,-0.37,34.0216,0.1846
2,10,120,-0.3496,34.4014,0.1852
2,,121,-0.3297,34.7815,0.1858
2,,122,-0.3103,35.1617,0.1864
2,,123,-0.2914,35.5421,0.1869
2,,124,-0.2729,35.9226,0.1875
2,,125,-0.2548,36.3033,0.188
2,,126,-0.2377,36.7011,0.1882
2,,127,-0.2209,37.0992,0.1883
2,,128,-0.2043,37.4974,0.1884
2,,129,-0.188,37.8958,0.1885
2,,130,-0.1719,38.2944,0.1886
2,,131,-0.156,38.6931,0.1887
2,11,132,-0.1419,39.0908,0.1884
2,,133,-0.1278,39.4887,0.1881
2,,134,-0.1138,39.8868,0.1878
2,,135,-0.0998,40.2851,0.1875
2,,136,-0.0859,40.6835,0.1872
2,,137,-0.072,41.0821,0.1869
2,,138,-0.0641,41.4657,0.1862
2,,139,-0.0562,41.8495,0.1855
2,,140,-0.0481,42.2333,0.1848
2,,141,-0.04,42.6173,0.1842
2,,142,-0.0318,43.0013,0.1835
2,,143,-0.0235,43.3855,0.1829
2,12,144,-0.0241,43.74,0.1818
2,,145,-0.0246,44.0946,0.1808
2,,146,-0.0251,44.4491,0.1798
2,,147,-0.0255,44.8037,0.1788
2,,148,-0.0258,45.1584,0.1778
2,,149,-0.026,45.513,0.1769
